F511,AMOUNT OF PATROL ACTIONS PER MONTH (AVERAGE) - MODALITY: MOTORIZED - LINEAR MOTORCYCLE - NIGHT SHIFT
F512,HOW MANY NEIGHBORHOOD BOARDS ARE - TOTAL
F513,WHAT IS THE TOTAL NUMBER OF MEMBERS OF ACTIVE NEIGHBORHOOD COMMITTEES? - TOTAL
F514,WHAT IS THE TOTAL OF CRIMINAL BANDS CAPTURED IN YOUR POLICE JURISDICTION DURING THE MONTHS OF: TOTAL - YEAR 2016?
F515,WHAT IS THE TOTAL OF CRIMINAL BANDS CAPTURED IN YOUR POLICE JURISDICTION DURING THE MONTHS OF: TOTAL - YEAR 2017?
F516,HOW MANY PEOPLE WERE INTERVENED BY THE STAFF OF THE POLICE STAFF DURING THE MONTHS OF: TOTAL - YEAR 2016?
F517,HOW MANY PEOPLE WERE INTERVENED BY THE STAFF OF THE POLICE STAFF DURING THE MONTHS OF: TOTAL - YEAR 2017?
F518,HOW MANY INTERVENED PEOPLE WERE DETAINED BY THE STAFF OF THE POLICE STAFF DURING THE MONTHS OF: TOTAL - 2016?
F519,HOW MANY INTERVENED PEOPLE WERE DETAINED BY THE STAFF OF THE POLICE STAFF DURING THE MONTHS OF: TOTAL - Year 2017?
F520,HOW MANY PERSONS DETAINED WERE POSTED BY THE PUBLIC MINISTRY DURING THE MONTHS OF: TOTAL - Year 2016?
F521,HOW MANY PEOPLE DETAINED WERE MADE AVAILABLE TO THE PUBLIC MINISTRY DURING THE MONTHS OF: TOTAL - Year 2017?
